2024/09/12 23:10:01.917580 [INFO] Log Publish not set, skipping...
2024/09/12 23:30:01.997354 [INFO] Log Publish not set, skipping...
2024/09/12 23:50:01.114698 [INFO] Log Publish not set, skipping...
2024/09/13 00:10:01.452968 [INFO] Log Publish not set, skipping...
2024/09/13 00:30:01.556461 [INFO] Log Publish not set, skipping...
2024/09/13 00:50:01.730189 [INFO] Log Publish not set, skipping...
2024/09/13 01:10:01.044681 [INFO] Log Publish not set, skipping...
2024/09/13 01:30:01.142690 [INFO] Log Publish not set, skipping...
2024/09/13 01:50:01.221643 [INFO] Log Publish not set, skipping...
2024/09/13 02:10:01.457329 [INFO] Log Publish not set, skipping...
2024/09/13 02:30:01.612876 [INFO] Log Publish not set, skipping...
2024/09/13 02:50:01.705143 [INFO] Log Publish not set, skipping...
2024/09/13 03:10:02.073218 [INFO] Log Publish not set, skipping...
2024/09/13 03:30:01.198530 [INFO] Log Publish not set, skipping...
2024/09/13 03:50:01.293101 [INFO] Log Publish not set, skipping...
2024/09/13 04:10:01.593514 [INFO] Log Publish not set, skipping...
2024/09/13 04:30:01.767842 [INFO] Log Publish not set, skipping...
2024/09/13 04:50:01.895720 [INFO] Log Publish not set, skipping...
2024/09/13 05:10:01.339233 [INFO] Log Publish not set, skipping...
2024/09/13 05:30:01.499334 [INFO] Log Publish not set, skipping...
2024/09/13 05:50:01.607581 [INFO] Log Publish not set, skipping...
2024/09/13 06:10:02.007912 [INFO] Log Publish not set, skipping...
2024/09/13 06:30:01.059912 [INFO] Log Publish not set, skipping...
2024/09/13 06:50:01.148252 [INFO] Log Publish not set, skipping...
2024/09/13 07:10:01.537380 [INFO] Log Publish not set, skipping...
2024/09/13 07:30:01.685309 [INFO] Log Publish not set, skipping...
2024/09/13 07:50:01.794756 [INFO] Log Publish not set, skipping...
