DepartureDate,DayOfWeek,Month,PredictedPrice
2024-12-02,0,12,943.1312141928599
2024-12-03,1,12,889.8821919224602
2024-12-04,2,12,830.2297482189622
2024-12-05,3,12,862.932917183952
2024-12-06,4,12,850.4898947242643
2024-12-07,5,12,791.6967222168158
2024-12-08,6,12,778.7046511621542
2024-12-09,0,12,943.1312141928599
2024-12-10,1,12,889.8821919224602
2024-12-11,2,12,830.2297482189622
2024-12-12,3,12,862.932917183952
2024-12-13,4,12,850.4898947242643
2024-12-14,5,12,791.6967222168158
2024-12-15,6,12,778.7046511621542
2024-12-16,0,12,943.1312141928599
2024-12-17,1,12,889.8821919224602
2024-12-18,2,12,830.2297482189622
2024-12-19,3,12,862.932917183952
2024-12-20,4,12,850.4898947242643
2024-12-21,5,12,791.6967222168158
2024-12-22,6,12,778.7046511621542
2024-12-23,0,12,943.1312141928599
2024-12-24,1,12,889.8821919224602
2024-12-25,2,12,830.2297482189622
2024-12-26,3,12,862.932917183952
2024-12-27,4,12,850.4898947242643
2024-12-28,5,12,791.6967222168158
2024-12-29,6,12,778.7046511621542
2024-12-30,0,12,943.1312141928599
2024-12-31,1,12,889.8821919224602
2025-01-01,2,1,859.5378404881084
2025-01-02,3,1,874.889242391336
2025-01-03,4,1,908.701041010209
2025-01-04,5,1,915.3331368167563
2025-01-05,6,1,763.4052073485702
2025-01-06,0,1,801.6415633552264
2025-01-07,1,1,764.6098654027209
2025-01-08,2,1,859.5378404881084
2025-01-09,3,1,874.889242391336
2025-01-10,4,1,908.701041010209
2025-01-11,5,1,915.3331368167563
2025-01-12,6,1,763.4052073485702
2025-01-13,0,1,801.6415633552264
2025-01-14,1,1,764.6098654027209
2025-01-15,2,1,859.5378404881084
2025-01-16,3,1,874.889242391336
2025-01-17,4,1,908.701041010209
2025-01-18,5,1,915.3331368167563
2025-01-19,6,1,763.4052073485702
2025-01-20,0,1,801.6415633552264
2025-01-21,1,1,764.6098654027209
2025-01-22,2,1,859.5378404881084
2025-01-23,3,1,874.889242391336
2025-01-24,4,1,908.701041010209
2025-01-25,5,1,915.3331368167563
2025-01-26,6,1,763.4052073485702
2025-01-27,0,1,801.6415633552264
2025-01-28,1,1,764.6098654027209
2025-01-29,2,1,859.5378404881084
2025-01-30,3,1,874.889242391336
2025-01-31,4,1,908.701041010209
2025-02-01,5,2,915.3331368167563
2025-02-02,6,2,763.4052073485702
2025-02-03,0,2,801.6415633552264
2025-02-04,1,2,764.6098654027209
2025-02-05,2,2,859.5378404881084
2025-02-06,3,2,874.889242391336
2025-02-07,4,2,908.701041010209
2025-02-08,5,2,915.3331368167563
2025-02-09,6,2,763.4052073485702
2025-02-10,0,2,801.6415633552264
2025-02-11,1,2,764.6098654027209
2025-02-12,2,2,859.5378404881084
2025-02-13,3,2,874.889242391336
2025-02-14,4,2,908.701041010209
2025-02-15,5,2,915.3331368167563
2025-02-16,6,2,763.4052073485702
2025-02-17,0,2,801.6415633552264
2025-02-18,1,2,764.6098654027209
2025-02-19,2,2,859.5378404881084
2025-02-20,3,2,874.889242391336
2025-02-21,4,2,908.701041010209
2025-02-22,5,2,915.3331368167563
2025-02-23,6,2,763.4052073485702
2025-02-24,0,2,801.6415633552264
2025-02-25,1,2,764.6098654027209
2025-02-26,2,2,859.5378404881084
2025-02-27,3,2,874.889242391336
2025-02-28,4,2,908.701041010209
2025-03-01,5,3,915.3331368167563
2025-03-02,6,3,763.4052073485702
2025-03-03,0,3,801.6415633552264
2025-03-04,1,3,764.6098654027209
2025-03-05,2,3,859.5378404881084
2025-03-06,3,3,874.889242391336
2025-03-07,4,3,908.701041010209
2025-03-08,5,3,915.3331368167563
2025-03-09,6,3,763.4052073485702
2025-03-10,0,3,801.6415633552264
2025-03-11,1,3,764.6098654027209
2025-03-12,2,3,859.5378404881084
2025-03-13,3,3,874.889242391336
2025-03-14,4,3,908.701041010209
2025-03-15,5,3,915.3331368167563
2025-03-16,6,3,763.4052073485702
2025-03-17,0,3,801.6415633552264
2025-03-18,1,3,764.6098654027209
2025-03-19,2,3,859.5378404881084
2025-03-20,3,3,874.889242391336
2025-03-21,4,3,908.701041010209
2025-03-22,5,3,915.3331368167563
2025-03-23,6,3,763.4052073485702
2025-03-24,0,3,801.6415633552264
2025-03-25,1,3,764.6098654027209
2025-03-26,2,3,859.5378404881084
2025-03-27,3,3,874.889242391336
2025-03-28,4,3,908.701041010209
2025-03-29,5,3,915.3331368167563
2025-03-30,6,3,763.4052073485702
2025-03-31,0,3,801.6415633552264
2025-04-01,1,4,764.6098654027209
2025-04-02,2,4,859.5378404881084
2025-04-03,3,4,874.889242391336
2025-04-04,4,4,908.701041010209
2025-04-05,5,4,915.3331368167563
2025-04-06,6,4,763.4052073485702
2025-04-07,0,4,801.6415633552264
2025-04-08,1,4,764.6098654027209
2025-04-09,2,4,859.5378404881084
2025-04-10,3,4,874.889242391336
2025-04-11,4,4,908.701041010209
2025-04-12,5,4,915.3331368167563
2025-04-13,6,4,763.4052073485702
2025-04-14,0,4,801.6415633552264
2025-04-15,1,4,764.6098654027209
2025-04-16,2,4,859.5378404881084
2025-04-17,3,4,874.889242391336
2025-04-18,4,4,908.701041010209
2025-04-19,5,4,915.3331368167563
2025-04-20,6,4,763.4052073485702
2025-04-21,0,4,801.6415633552264
2025-04-22,1,4,764.6098654027209
2025-04-23,2,4,859.5378404881084
2025-04-24,3,4,874.889242391336
2025-04-25,4,4,908.701041010209
2025-04-26,5,4,915.3331368167563
2025-04-27,6,4,763.4052073485702
2025-04-28,0,4,801.6415633552264
2025-04-29,1,4,764.6098654027209
2025-04-30,2,4,859.5378404881084
2025-05-01,3,5,874.889242391336
2025-05-02,4,5,908.701041010209
2025-05-03,5,5,915.3331368167563
2025-05-04,6,5,763.4052073485702
2025-05-05,0,5,801.6415633552264
2025-05-06,1,5,764.6098654027209
2025-05-07,2,5,859.5378404881084
2025-05-08,3,5,874.889242391336
2025-05-09,4,5,908.701041010209
2025-05-10,5,5,915.3331368167563
2025-05-11,6,5,763.4052073485702
2025-05-12,0,5,801.6415633552264
2025-05-13,1,5,764.6098654027209
2025-05-14,2,5,859.5378404881084
2025-05-15,3,5,874.889242391336
2025-05-16,4,5,908.701041010209
2025-05-17,5,5,915.3331368167563
