Airline,Price,Departure,Arrival,DepartureDate,DayOfWeek,Month
TP,262.66,2024-08-07T22:05:00,2024-08-08T10:00:00,2024-08-07,2,8
TP,262.66,2024-08-07T22:05:00,2024-08-08T10:00:00,2024-08-07,2,8
FI,334.07,2024-08-07T23:10:00,2024-08-08T08:55:00,2024-08-07,2,8
FI,353.73,2024-08-07T20:25:00,2024-08-08T06:15:00,2024-08-07,2,8
AT,436.2,2024-08-07T20:45:00,2024-08-08T08:50:00,2024-08-07,2,8
S4,482.57,2024-08-07T20:55:00,2024-08-08T06:50:00,2024-08-07,2,8
AZ,506.51,2024-08-07T20:59:00,2024-08-07T22:36:00,2024-08-07,2,8
AZ,506.51,2024-08-07T21:00:00,2024-08-07T22:40:00,2024-08-07,2,8
AZ,506.51,2024-08-07T19:35:00,2024-08-07T21:37:00,2024-08-07,2,8
AZ,506.51,2024-08-07T19:55:00,2024-08-07T23:28:00,2024-08-07,2,8
TP,537.66,2024-08-07T19:20:00,2024-08-07T20:54:00,2024-08-07,2,8
TP,537.66,2024-08-07T19:20:00,2024-08-07T20:54:00,2024-08-07,2,8
S4,557.57,2024-08-07T20:55:00,2024-08-08T06:50:00,2024-08-07,2,8
TK,571.48,2024-08-07T19:25:00,2024-08-08T12:35:00,2024-08-07,2,8
TK,571.48,2024-08-07T19:25:00,2024-08-08T12:35:00,2024-08-07,2,8
TP,579.85,2024-08-07T22:59:00,2024-08-08T00:17:00,2024-08-07,2,8
TP,579.85,2024-08-07T22:59:00,2024-08-08T00:17:00,2024-08-07,2,8
TP,579.85,2024-08-07T22:59:00,2024-08-08T00:17:00,2024-08-07,2,8
AZ,590.32,2024-08-07T21:30:00,2024-08-08T12:05:00,2024-08-07,2,8
S4,603.57,2024-08-07T20:55:00,2024-08-08T06:50:00,2024-08-07,2,8
UA,608.16,2024-08-07T17:30:00,2024-08-08T07:30:00,2024-08-07,2,8
UA,608.16,2024-08-07T17:30:00,2024-08-08T07:30:00,2024-08-07,2,8
UA,608.37,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
UA,608.37,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
UA,608.37,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
LX,624.84,2024-08-07T19:00:00,2024-08-08T05:00:00,2024-08-07,2,8
LX,624.84,2024-08-07T20:30:00,2024-08-08T10:25:00,2024-08-07,2,8
LX,624.84,2024-08-07T19:00:00,2024-08-08T05:00:00,2024-08-07,2,8
LX,624.84,2024-08-07T20:30:00,2024-08-08T10:25:00,2024-08-07,2,8
LH,625.75,2024-08-07T17:20:00,2024-08-08T07:20:00,2024-08-07,2,8
LH,625.75,2024-08-07T17:20:00,2024-08-08T07:20:00,2024-08-07,2,8
LH,625.96,2024-08-07T20:00:00,2024-08-08T04:00:00,2024-08-07,2,8
LH,625.96,2024-08-07T20:00:00,2024-08-08T04:00:00,2024-08-07,2,8
LH,625.96,2024-08-07T20:00:00,2024-08-08T11:00:00,2024-08-07,2,8
LH,625.96,2024-08-07T20:00:00,2024-08-08T11:00:00,2024-08-07,2,8
LH,625.96,2024-08-07T18:00:00,2024-08-08T07:00:00,2024-08-07,2,8
LH,625.96,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
LH,625.96,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
OS,631.15,2024-08-07T19:00:00,2024-08-08T08:00:00,2024-08-07,2,8
OS,631.15,2024-08-07T19:00:00,2024-08-08T08:00:00,2024-08-07,2,8
SN,631.47,2024-08-07T18:10:00,2024-08-08T07:40:00,2024-08-07,2,8
SN,631.47,2024-08-07T18:10:00,2024-08-08T07:40:00,2024-08-07,2,8
LX,652.34,2024-08-07T19:25:00,2024-08-08T09:15:00,2024-08-07,2,8
LX,652.34,2024-08-07T19:25:00,2024-08-08T09:15:00,2024-08-07,2,8
LX,652.34,2024-08-07T19:25:00,2024-08-08T09:15:00,2024-08-07,2,8
AF,671.25,2024-08-07T23:15:00,2024-08-08T12:40:00,2024-08-07,2,8
AF,671.25,2024-08-07T21:30:00,2024-08-08T11:05:00,2024-08-07,2,8
AF,671.25,2024-08-07T23:15:00,2024-08-08T12:40:00,2024-08-07,2,8
AF,682.55,2024-08-07T18:30:00,2024-08-08T08:05:00,2024-08-07,2,8
AF,682.55,2024-08-07T17:35:00,2024-08-08T06:50:00,2024-08-07,2,8
AF,682.55,2024-08-07T21:15:00,2024-08-08T10:30:00,2024-08-07,2,8
AF,682.55,2024-08-07T21:15:00,2024-08-08T10:30:00,2024-08-07,2,8
VS,682.55,2024-08-07T19:40:00,2024-08-08T09:15:00,2024-08-07,2,8
VS,699.03,2024-08-07T21:00:00,2024-08-08T09:25:00,2024-08-07,2,8
IB,707.54,2024-08-07T20:45:00,2024-08-08T10:10:00,2024-08-07,2,8
IB,707.54,2024-08-07T19:05:00,2024-08-08T08:25:00,2024-08-07,2,8
IB,707.54,2024-08-07T19:05:00,2024-08-08T08:25:00,2024-08-07,2,8
IB,707.54,2024-08-07T20:45:00,2024-08-08T10:10:00,2024-08-07,2,8
UA,710.82,2024-08-07T19:25:00,2024-08-08T09:15:00,2024-08-07,2,8
VS,712.53,2024-08-07T23:59:00,2024-08-08T12:15:00,2024-08-07,2,8
IB,741.97,2024-08-07T23:40:00,2024-08-08T13:25:00,2024-08-07,2,8
LO,751.28,2024-08-07T22:20:00,2024-08-08T13:05:00,2024-08-07,2,8
LO,751.28,2024-08-07T17:45:00,2024-08-08T08:15:00,2024-08-07,2,8
LO,751.28,2024-08-07T17:45:00,2024-08-08T08:15:00,2024-08-07,2,8
UA,803.16,2024-08-07T17:30:00,2024-08-08T07:30:00,2024-08-07,2,8
EI,871.06,2024-08-07T21:05:00,2024-08-08T08:50:00,2024-08-07,2,8
EI,887.06,2024-08-07T21:05:00,2024-08-08T08:50:00,2024-08-07,2,8
IB,1016.97,2024-08-07T23:40:00,2024-08-08T13:25:00,2024-08-07,2,8
UX,1170.62,2024-08-07T18:15:00,2024-08-08T07:45:00,2024-08-07,2,8
UA,1260.25,2024-08-07T20:30:00,2024-08-08T10:25:00,2024-08-07,2,8
UA,1266.56,2024-08-07T21:45:00,2024-08-08T11:55:00,2024-08-07,2,8
UA,2613.16,2024-08-07T17:30:00,2024-08-08T07:30:00,2024-08-07,2,8
SK,2795.15,2024-08-07T19:10:00,2024-08-08T09:10:00,2024-08-07,2,8
OS,3797.23,2024-08-07T21:45:00,2024-08-08T11:55:00,2024-08-07,2,8
LX,4110.84,2024-08-07T19:00:00,2024-08-08T05:00:00,2024-08-07,2,8
LX,4110.84,2024-08-07T20:30:00,2024-08-08T10:25:00,2024-08-07,2,8
LH,4111.75,2024-08-07T17:20:00,2024-08-08T07:20:00,2024-08-07,2,8
LH,4111.96,2024-08-07T20:00:00,2024-08-08T04:00:00,2024-08-07,2,8
LH,4111.96,2024-08-07T18:00:00,2024-08-08T07:00:00,2024-08-07,2,8
LH,4111.96,2024-08-07T21:50:00,2024-08-08T11:45:00,2024-08-07,2,8
SN,4117.47,2024-08-07T18:10:00,2024-08-08T07:40:00,2024-08-07,2,8
LX,4121.41,2024-08-07T19:25:00,2024-08-08T09:15:00,2024-08-07,2,8
AF,4468.61,2024-08-07T21:30:00,2024-08-08T11:05:00,2024-08-07,2,8
TP,262.66,2024-08-08T22:05:00,2024-08-09T09:55:00,2024-08-08,3,8
TP,262.66,2024-08-08T22:05:00,2024-08-09T09:55:00,2024-08-08,3,8
FI,379.73,2024-08-08T13:00:00,2024-08-08T22:35:00,2024-08-08,3,8
FI,399.73,2024-08-08T20:25:00,2024-08-09T06:15:00,2024-08-08,3,8
S4,408.57,2024-08-08T20:55:00,2024-08-09T06:50:00,2024-08-08,3,8
S4,408.57,2024-08-08T20:55:00,2024-08-09T06:50:00,2024-08-08,3,8
S4,408.57,2024-08-08T20:55:00,2024-08-09T06:50:00,2024-08-08,3,8
UX,420.62,2024-08-08T22:05:00,2024-08-09T11:25:00,2024-08-08,3,8
